country,activity,injury,fatal
usa,snorkeling,puncture wounds to left calf,n
australia,snorkeling,fatal,y
australia,swimming,serious injury to left leg,n
brazil,surfing,puncture wounds to right hand,n
australia,swimming,severe injury to leg and broken him,n
australia,swimming,injury to leg,n
st kitts ,swimming  kayaking,"severe injury to left leg, resulting in amputation above the knee",n
new zealand,swimming,fatal,y
usa,surfing,"no injury, board damaged",n
usa,surfing,15 cut to ankle,n
usa,swimming,significant injury to right lower leg,n
usa,swimming,no injury swim fin bittten,n
maldives,fell off fishing boat,injuries to leg,n
st martin,swimming,fatal,y
australia,surfing,"no injury, board bitten",n
usa,surfing,fatal,y
usa,surfing,non-life-threatening to left lower leg & foot,n
australia,surfing,non-life-threatening injuries to buttock and thigh,n
egypt,scuba diving,left shoulder bitten,n
usa,snorkeling,severe injury to torso,n
new caledonia,snorkeling,three 3-inch lacerations to thigh,n
australia,body boarding,fatal,y
australia,surfing,"minor injury to left foot, leg and finger",n
usa,swimming,minor injuries,n
bahamas,spearfishing,handwrist bitten,n
usa,surfing,hand bitten,n
egypt,snorkeling,"boy lost arm, dive guide lost leg,",n
australia,spearfishing,severe injury to thigh,n
usa,surfing,laceration to knee and foot,n
australia,surfing,fatal,y
usa,body surfing,laceration to lower leg,n
australia,surfing,"no injury, knocked off board when shark grabbed his leg rope",n
usa,nan,minor lacerations to right foot when he stepped on the shark provoked incident,n
usa,swimming,lacerations and puncture wounds to shoulder,n
usa,snorkeling,severe bite to shoulder,n
australia,fishing,arm bitten by hooked shark provoked incident,n
australia,foil-boarding,"no injury, board bitten",n
usa,swimming,minor cuts and punctures to left foot,n
usa,surfing,cuts to right hand and wrist,n
usa,surfing,left arm bitten,n
usa,surf fishing,hand bitten that was holding a fish provoked incident,n
australia,surfing,fatal,y
usa,snorkeling,ankle bitten,n
usa,nan,minor injury to forearm,n
australia,fishing  filming sharks feeding on whale carcass,"shark bit boat, no injury to occupant",n
usa,surfing,injury to right foot and ankle,n
usa,kayak fishing,"no injury, kayak damaged",n
usa,standing,minor injury to foot,n
usa,surfing,lacerations to sole of left foot,n
usa,boogie boarding,minor lacerations to left leg,n
usa,wading,minor injury to arm by a fish,n
australia,surfing,lacerations to right calf and posterior thigh,n
usa,fishing,injury to left forearm by hooked shark provoked incident,n
usa,snorkeling,lacerations to hand and wrist,n
usa,surfing,"no injury, but board bitten",n
usa,surfing,lacerations to foot,n
usa,swimming,lacerations to foot and toes,n
australia,surfing,lacerations to leg,n
