country,activity,injury,fatal
usa,surfing,right thumb & palm lacerated,n
australia,fishing,"no injury to occupant, shark bit outboard motor",n
australia,surfing,"2 lacerations on leg, each 4"" to 5"" long",n
south africa,surfing,"cut on finger, board bitten",n
new caledonia,spearfishing,arm bitten,n
usa,surfing,left foot bitten,n
usa,surfing,lacerations to right thigh,n
new caledonia,nan,"no injury to occupants, shark lifted bow of boat 3 times",n
south africa,fishing for sharks,lacerations to hands & right leg when he tried to pull shark from the water provoked incident,n
usa,surfing,puncture wounds to right foot,n
usa,surfing,"no injury, board bitten",n
usa,surfing,"no injury, board bumped",n
usa,wading,puncture wounds to foot,n
st maartin,standing,lower right leg lacerated,n
south africa,standing  surfing,right foot bitten,n
usa,surfing,no injury,n
usa,surfing,leg bitten,n
usa,wading,minor cuts to dorsum & sole of left foot when he stepped on shark provoked incident,n
usa,surfing,"no injury, surfboard bitten",n
grand cayman,scuba diving,no injury,n
usa,treading water surfing,five 1-inch lacerations to left foot,n
bahamas,diving,lacerations to right side of face,n
south africa,surf-skiing,"no injury, shark bit ski",n
australia,surfing,"no injury, knocked off board",n
australia,surfing,lacerations to legs,n
australia,surfing,no injury,n
usa,surfing,lacerations to dorsum of left foot,nan
usa,body surfing,"injuries to fingers, calf  & heel",n
usa,surfing,fatal,y
australia,standing,left foot & ankle lacerated,n
usa,wading,calf severely lacerated,n
australia,surfing,lacerations to right arm & thigh,n
usa,standing  surfing,right foot bitten,n
thailand,removing shark from net,fatal provoked incident,y
australia,scuba diving,fatal,y
usa,surfing,lower right leg lacerated,n
usa,"boogie boarding, kicked at object in the water","laceration to knee, possibly by a  small blacktip shark",nan
usa,swimming,bitten underneath left arm,n
usa,walking,left foot bitten,n
south africa,nan,human foot recovered from the water,nan
usa,surfing,laceration on right wrist & crescent of puncture wounds on  forearm,n
usa,swimming,puncture wounds on left foot,n
seychelles,fishing,"fatal, shark involvement prior to death is unconfirmed",nan
usa,wading,laceration on the back of left hand & toothmarks on wrist,n
usa,surfing,"right foot: toes and back of foot, minor injury",n
usa,surfing,"straight 25"" laceration on top of left ankle",nan
liberia,swimming,presumed to have drowned until his body washed ashore 2 weeks later with shark bites,nan
china,scuba diving in aquarium tank,2 small cuts on right ear & head when he collided with the captive shark provoked incident,n
australia,nan,"a hoax - no shark was involved and wells' ""daughter"" was his business partner eileen purchase who injured her finger on his boat",nan
usa,swimming,lacerations of left forearm,n
usa,holding onto an inflatable boat,left foot bitten,n
usa,standing,ankle bitten,n
usa,fishing,"leg severely bitten, surgically amputated",n
usa,swimming with boogie board,"fatal, leg bitten",y
vanuatu,swimming,fatal,y
mexico,surfing,left foot bitten,n
usa,swimming,"no injury, 21m [7'] tiger shark approached swimmer who repelled it with his fist",nan
usa,swimming,foot bitten,n
south korea,diving,knee bitten,n
usa,boogie boarding,foot lacerated,n
usa,surfing,dorsum of footankle  injured by surfboard skeg or other inanimate object,nan
south africa,spearfishing free diving,fatal,y
usa,wading,two 2-inch lacerations on right foot,n
usa,swimming,left foot bitten,n
usa,crouching in 2' of water,right arm & torso bitten,n
south africa,surfing,left buttock  & legs lacerated,n
australia,spearfishing,severe injury to lower leg,n
usa,kayaking,"no injury, shark bit kayak",n
madagascar,fishing,thigh bitten,n
usa,sea disaster,no injury,n
usa,surfing,"no injury, board damaged",n
australia,fishing,laceration on left thigh provoked incident,n
australia,nan,shark-bitten surfboard found adrift,n
australia,spearfishing,minor cuts above his right eye,n
australia,surfing,"no injury, board bitten",n
usa,wading,right lower leg bitten,n
usa,surfing,foot injured,nan
usa,surfing,left foot bitten,n
usa,nan,left calf injured,n
honduras,scuba diving,"laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",nan
south africa,surfing,"lacerations to right calf, puncture wounds on right foot",n
australia,surfing,"no injury, shark rammed surfboard",n
venezuela,surfing,right leg bitten,n
australia,snorkeling,fatal,y
usa,diving in aquarium display tank,2 punctures on forearm as captive shark collided with diver provoked incident,n
south africa,nan,bites by 25 m tiger shark were post mortem,nan
new zealand,fishing,"no injury, netted shark dragged them 350 metres out to sea provoked incident",n
solomon islands,diving,thighs bitten,n
australia,swimming,finger bitten,n
usa,spearfishing,speared shark bit his chest provoked incident,n
usa,surfing,"no injury, knocked off board, shark bit board",n
usa,spearfishing,hand bitten,n
brazil,surfing,right thigh & ankle injured,n
cuba,swimming,left foot severed,n
australia,spearfishing,no injury towed by speared shark provoked incident,n
australia,attempting to drive shark away from sailing regatta,"no injury to occupants, one of the boat's flotation tanks holed provoked incident",n
new zealand,fishing from a kayak,"no injury, kayak bumped repeatedly",n
sri lanka,"swept out to sea by the tsunami, she clung  to a log for 24 hours",no injury,nan
australia,scurfing surfboard being  towed behind a boat,fatal,y
australia,spearfishing,"fatal, leg bitten",y
south africa,surfing,3 lacerations on foot,n
south africa,playing,lacerations on lower leg & foot,n
south africa,swimming,fatal,y
usa,surfing,"lacerations to hand, knee & thigh",n
vanuatu,snorkeling,thigh bitten,n
new caledonia,diving,forearm bitten,n
cuba,diving,left forearm bitten,n
new zealand,nan,no injury,nan
south africa,chumming for white sharks,right ankle & foot lacerated,n
australia,surfing,right foot lacerated,n
usa,surfing,lower leg bitten,n
usa,spearfishing,left shoulder bitten,n
south africa,surfing,puncture wounds on right foot,n
reunion,body boarding,"leg severely bitten, surgically amputated",n
usa,surfing,"no injury, knocked off surfboard",n
usa,surfing,"no injury, shark struck board & spun it around",n
australia,spearfishing filming,"no injury to occupants, boat damaged",n
usa,surfing,leg bitten,n
usa,surf fishing,minor scratch on calf,nan
brazil,swimming,fatal,y
usa,jumping,left knee & leg bitten,n
usa,walking,heel bitten,n
brazil,bathing,calf bitten & both hands injured,n
usa,surfing,foot bitten,n
usa,diving,fatal,y
usa,swimming,"back, buttocks, left hand & left side of face bitten",n
australia,spearfishing,minor puncture wounds to leg,n
south africa,fishing,no injury to occupants; boat damaged,n
usa,surfing,right foot bitten,n
russia,diving & fishing with net,thigh & calf bitten,n
usa,surfing,right calf bitten,n
usa,swimming,right forearm & wrist lacerated,n
usa,swimming,right foot bitten,n
usa,wading  fishing & carrying a bag of fish,right forearm nearly severed and bites above & below the right knee,n
australia,fishing,"no injury to occupants; shark mouthed motor, severed anchor line",n
japan,fishing for squid aboard the trawler shikishima-maru when the shark leapt into the boat,suffered broken ribs when the shark's tail fin slammed into his chest,n
australia,surfing,"fatal, abdomen, pelvis & leg bitten",y
egypt,snorkeling,hand severed,n
usa,wading,right foot lacerated,n
usa,surfing,"no injury, shark struck his board",n
australia,crayfishing,"no injury, shark made threat displays & diver fended it off with his speargun",nan
usa,in water with diving seabirds,foot bitten,n
australia,body boarding,ankle & foot lacerated,n
usa,swimming,right wrist  & left arm lacerated,n
south africa,"swimming, poaching perlemoen","fatal, leg severed",y
usa,wading,puncture wounds on shin,n
brazil,swimming,"left hand, foot severed &  left calf & arm bitten",n
usa,surfing,no injury,n
usa,boogie-boarding  swimming,calf & foot lacerated,n
usa,swimming,single puncture wound on the foot,nan
usa,nan,foot bitten,n
brazil,wading,hips & thighs bitten,n
bahamas,free diving & spearfishing,left forearm bitten provoked incident,n
usa,tandem surfing,"no injury, board bitten",n
brazil,swimming,fatal,y
australia,diving,puncture wounds on wrist,n
new zealand,fishing,"no injury to occupants, boat scratched by shark",n
tonga,five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas survivors rescued after  75 hours in the water,"bitten on feet, legs, back & abdomen but survived  survivors rescued after  75 hours in the water",y
tonga,five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas survivors rescued after  75 hours in the water,"he was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",y
usa,surfing,fatal severe wound to right thigh & calf,y
south africa,surfing,"left leg lacerated, right leg severed above the knee",n
usa,surfing,"disappeared, surfboard washed ashore, marks on leash suggested shark involvement",nan
usa,nan,right foot bitten,n
usa,surfing,15 puncture wounds on foot,n
brazil,body boarding,"lower left leg bitten, surgically amputated",n
usa,surfing,heel bitten,n
reunion,surfing,right thigh bitten,n
usa,swimming,minor lacerations & abrasions on forearm,n
usa,snorkeling,lacerations to left foot,n
new zealand,spearfishing,no injury,n
usa,surfing,"no injury, board bitten",n
australia,spearfishing,shin & calf bitten,n
brazil,swimming,"fatal, right thigh & hip bitten",y
new zealand,surfing,thigh lacerated,n
australia,swimming,three toes lacerated,n
australia,free diving & spearfishing,"disappeared while diving, may have suffered shallow water blackout searchers observed large tiger sharks & whaler sharks in the area",nan
egypt,snorkeling,fatal,y
australia,snorkeling,leg bitten,n
australia,scuba diving,left leg bitten,n
uruguay,surfing,puncture wounds to dorsum of right foot,n
new zealand,boogie boarding,"no injury, swim fin damaged",nan
venezuela,swimming,lower back & hand bitten,n
venezuela,spearfishing,right leg bitten,n
south africa,surf skiing,"no injury to occupants, stern of ski bitten",n
australia,diving,"no injury, swim fin ripped off",n
south africa,surfing,foot lacerated,n
new zealand,kayaking returning from spearfishing,"no injury, no attack, shark took fish from back of kayak",nan
egypt,air disaster flash airlines boeing 737 crashed into the red sea,"no survivors, sharks scavenged on remains",y
australia,surfing,no inury,n
south africa,nan,no injury to occupants,n
usa,swimming,knee lacerated,nan
usa,swimming,foot bitten,n
new zealand,swimming  shipwreck,fatal,y
australia,surfing amid a shoal of sharks,"no inury, shark caught leash attached to surfer's ankle & towed him a short distance",n
australia,swimming,"after biting halverson, it bit scott's thigh",n
australia,swimming,hand & foot bitten,n
south africa,spearfishing,"presumed fatal, severed hand recovered",y
usa,surfing,severe abrasion to left lateral calf,n
india,swimming or surfing,left index finger lacerated,n
usa,surfing,lacerations to hand,n
egypt,snorkeling,handelbow injured,n
south africa,surf skiing,"no injury to occupants, hull of ski bitten",n
australia,standing,minor lacerations to leg & foot,n
panama,spearfishing,left forearm bitten provoked incident,n
usa,surfing,left foot sole bitten,n
australia,surfing,left ankle & foot lacerated,n
usa,surfing,left arm severed below shoulder,n
usa,surfing,laceration on right ankle & heel,n
usa,snorkeling,left forearm lacerated,nan
usa,surfing,foot bitten,n
usa,swimming to shore from boat or kayak,"fatal, drowning or scavenging  two hours later his body, with bite marks,  washed ashore",y
usa,surfing,minor puncture wounds in hand,n
usa,surfing,5 to 6 lacerations on right foot & ankle,n
usa,surfing,left ankle bitten when he stepped on the shark provoked incident,n
usa,sitting on surfboard,left foot bitten,n
usa,wading near a fishing net,"left thigh abraded, right knee and right index finger injured",n
fiji,wading to shore from his boat,fatal abdomen bitten,y
usa,surfing,arm lacerated,n
usa,surfing,left foot bitten,n
usa,surfing,left heel lacerated,n
usa,surfing,3 puncture wounds on left foot,n
usa,surfing,left foot: lacerations on heel and sole,n
south africa,fishing,"no injury to occupants, shark bit boat",n
